PeakID (cmd=annotatePeaks.pl results/filtered_reproducible_peaks.bed mm10 -gtf results/m39_gene_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr4-298	chr4	139007921	139008089	+	1	NA	TTS (ENSMUST00000131912.8)	protein_coding-TTS (ENSMUST00000131912.8)	-8252	ENSMUST00000132385.2	ENSMUSG00000028745	ENSMUST00000102507			Capzb			protein_coding
chr11-907	chr11	43686964	43687132	+	1	NA	intron (ENSMUST00000167574.2, intron 1 of 1)	protein_coding-intron (ENSMUST00000067258.9, intron 4 of 4)	40111	ENSMUST00000124306.2	ENSMUSG00000050541	ENSMUST00000167574			Adra1b			protein_coding
chr5-1014	chr5	35343296	35343464	+	1	NA	Intergenic	Intergenic	-80270	ENSMUST00000030986.15	ENSMUSG00000029103	ENSMUST00000152028			Lrpap1			protein_coding
chr8-940	chr8	106022046	106022197	+	1	NA	exon (ENSMUST00000212261.2, exon 2 of 2)	protein_coding-intron (ENSMUST00000212974.2, intron 1 of 3)	451	ENSMUST00000212777.2	ENSMUSG00000043251	ENSMUST00000212777			Exoc3l			protein_coding
chr3-243	chr3	40715842	40716010	+	1	NA	TTS (ENSMUST00000203496.3)	protein_coding-TTS (ENSMUST00000203496.3)	-11150	ENSMUST00000203425.2	ENSMUSG00000025757	ENSMUST00000203267			Hspa4l			protein_coding
chr1-808	chr1	43761721	43761889	+	1	NA	Intergenic	Intergenic	-7957	ENSMUST00000027217.9	ENSMUSG00000026051	ENSMUST00000027217			Ecrg4			protein_coding
chr9-724	chr9	118349187	118349355	+	1	NA	intron (ENSMUST00000212461.2, intron 2 of 11)	protein_coding-intron (ENSMUST00000084820.6, intron 2 of 23)	6023	ENSMUST00000212461.2	ENSMUSG00000038708	ENSMUST00000212274			Golga4			protein_coding
chr17-553	chr17	79770836	79771004	+	1	NA	Intergenic	Intergenic	-11729	ENSMUST00000242898.1	ENSMUSG00000120381	ENSMUST00000242898			Gm32954			lncRNA
chr9-640	chr9	114519296	114519464	+	1	NA	intron (ENSMUST00000215345.2, intron 2 of 2)	protein_coding-intron (ENSMUST00000047404.7, intron 2 of 12)	1522	ENSMUST00000215345.2	ENSMUSG00000032435	ENSMUST00000047404			Dync1li1			protein_coding
chr14-209	chr14	22956452	22956611	+	1	NA	intron (ENSMUST00000075639.11, intron 6 of 6)	protein_coding-intron (ENSMUST00000075639.11, intron 6 of 6)	-21463	ENSMUST00000225436.2	ENSMUSG00000114496	ENSMUST00000225436			Gm47601			lncRNA
chr15-356	chr15	58116476	58116644	+	1	NA	intron (ENSMUST00000147638.2, intron 1 of 1)	lncRNA-intron (ENSMUST00000147638.2, intron 1 of 1)	-38232	ENSMUST00000022986.8	ENSMUSG00000022358	ENSMUST00000022986			Fbxo32			protein_coding
chr15-793	chr15	97561867	97562035	+	1	NA	Intergenic	Intergenic	16283	ENSMUST00000229109.2	ENSMUSG00000022466	ENSMUST00000023104			Rpap3			protein_coding
chr1-92	chr1	135994459	135994627	+	1	NA	intron (ENSMUST00000160641.8, intron 2 of 43)	protein_coding-intron (ENSMUST00000112064.8, intron 2 of 43)	-6749	ENSMUST00000161865.2	ENSMUSG00000026407	ENSMUST00000159106			Cacna1s			protein_coding
chr9-582	chr9	23222367	23222535	+	1	NA	intron (ENSMUST00000071982.7, intron 6 of 14)	protein_coding-intron (ENSMUST00000071982.7, intron 6 of 14)	-62777	ENSMUST00000214050.2	ENSMUSG00000031963	ENSMUST00000071982			Bmper			protein_coding
chr4-1140	chr4	48015417	48015585	+	1	NA	Intergenic	Intergenic	19045	ENSMUST00000141580.2	ENSMUSG00000085660	ENSMUST00000141580			Gm12434			lncRNA
chr5-339	chr5	132103710	132103878	+	1	NA	intron (ENSMUST00000182974.9, intron 2 of 18)	protein_coding-intron (ENSMUST00000071591.4, intron 2 of 2)	-24618	ENSMUST00000160071.10	ENSMUSG00000029673	ENSMUST00000160071			Auts2			protein_coding
chr9-884	chr9	70770556	70770724	+	1	NA	intron (ENSMUST00000216798.2, intron 1 of 8)	protein_coding-intron (ENSMUST00000034731.10, intron 1 of 8)	10782	ENSMUST00000179930.3	ENSMUSG00000096160	ENSMUST00000179930			Gm3436			processed_pseudogene
chr6-1042	chr6	145922970	145923103	+	1	NA	Intergenic	Intergenic	-19776	ENSMUST00000139089.2	ENSMUSG00000085414	ENSMUST00000139089			Sspnos			lncRNA
